Date,Month,Weekday,Season,Holiday,Marketing_Spend,Revenue,Room_Revenue,Occupancy_Rate,ADR,RevPAR,No_Room_Sold,Total_Available_Room,Out_of_Order (OOO),Available_Rooms,Reserved_Rooms,Lead_Booking_Channel,Guest_Type,Market_Segment,Guest_Country,Complaints,Compliment,Bookings,No_Shows,Cancellations,Checkouts,New_Bookings,Checkins,Average_Review_Score,Fixed_Costs,Variable_Costs,Total_Costs,Profit
2/13/2024,2,2,Winter,0,55000,82000,47000,0.77,122,93.94,385,500,0,31,9,OTA,Business,0.23,France,1,1,9,1,1,8,2,2,4.6,11000,5000,13000,
2/14/2024,2,3,Winter,1,65000,88000,49000,0.79,128,101.12,383,485,15,32,10,Direct,Leisure,0.21,Italy,2,0,10,2,1,9,3,1,4.5,12000,6000,15000,
2/15/2024,2,4,Winter,0,70000,91000,50000,0.81,134,108.54,373,461,39,33,8,OTA,Business,0.19,Spain,1,2,8,1,0,7,2,2,4.7,11500,7000,15500,
2/16/2024,2,5,Winter,1,50000,80000,45000,0.75,120,90,375,500,0,30,10,Direct,Leisure,0.25,USA,2,0,10,1,0,8,2,1,4.5,10000,5000,15000,
2/17/2024,2,6,Winter,0,55000,82000,47000,0.77,122,93.94,385,500,0,31,9,OTA,Business,0.23,France,1,1,9,1,1,8,2,2,4.6,11000,5000,13000,
2/18/2024,2,7,Winter,0,65000,88000,49000,0.79,128,101.12,383,485,15,32,10,Direct,Leisure,0.21,Italy,2,0,10,2,1,9,3,1,4.5,12000,6000,15000,
2/19/2024,2,1,Winter,0,70000,91000,50000,0.81,134,108.54,373,461,39,33,8,OTA,Business,0.19,Spain,1,2,8,1,0,7,2,2,4.7,11500,7000,15500,
2/20/2024,2,2,Winter,0,50000,80000,45000,0.75,120,90,375,500,0,30,10,Direct,Leisure,0.25,USA,2,0,10,1,0,8,2,1,4.5,10000,5000,15000,
2/21/2024,2,3,Winter,0,55000,82000,47000,0.77,122,93.94,385,500,0,31,9,OTA,Business,0.23,France,1,1,9,1,1,8,2,2,4.6,11000,5000,13000,
2/22/2024,2,4,Winter,0,65000,88000,49000,0.79,128,101.12,383,485,15,32,10,Direct,Leisure,0.21,Italy,2,0,10,2,1,9,3,1,4.5,12000,6000,15000,
2/23/2024,2,5,Winter,1,70000,91000,50000,0.81,134,108.54,373,461,39,33,8,OTA,Business,0.19,Spain,1,2,8,1,0,7,2,2,4.7,11500,7000,15500,
2/24/2024,2,6,Winter,0,50000,80000,45000,0.75,120,90,375,500,0,30,10,Direct,Leisure,0.25,USA,2,0,10,1,0,8,2,1,4.5,10000,5000,15000,
2/25/2024,2,7,Winter,0,55000,82000,47000,0.77,122,93.94,385,500,0,31,9,OTA,Business,0.23,France,1,1,9,1,1,8,2,2,4.6,11000,5000,13000,
2/26/2024,2,1,Winter,0,65000,88000,49000,0.79,128,101.12,383,485,15,32,10,Direct,Leisure,0.21,Italy,2,0,10,2,1,9,3,1,4.5,12000,6000,15000,
2/27/2024,2,2,Winter,0,70000,91000,50000,0.81,134,108.54,373,461,39,33,8,OTA,Business,0.19,Spain,1,2,8,1,0,7,2,2,4.7,11500,7000,15500,
2/28/2024,2,3,Winter,0,50000,80000,45000,0.75,120,90,375,500,0,30,10,Direct,Leisure,0.25,USA,2,0,10,1,0,8,2,1,4.5,10000,5000,15000,
2/29/2024,2,4,Winter,0,55000,82000,47000,0.77,122,93.94,385,500,0,31,9,OTA,Business,0.23,France,1,1,9,1,1,8,2,2,4.6,11000,5000,13000,
3/1/2024,3,5,Spring,1,70000,91000,50000,0.81,134,108.54,373,461,39,33,8,OTA,Business,0.19,Spain,1,2,8,1,0,7,2,2,4.7,11500,7000,15500,
3/2/2024,3,6,Spring,0,60000,85000,48000,0.78,125,97.5,384,492,8,32,8,OTA,Business,0.2,UK,1,1,9,2,1,7,3,2,4.6,12000,6000,12000,
3/3/2024,3,7,Spring,0,70000,90000,49000,0.8,130,104,377,471,29,33,6,Direct,Leisure,0.22,Germany,0,2,8,1,1,8,4,1,4.7,11000,7000,14000,
3/4/2024,3,1,Spring,0,50000,80000,45000,0.75,120,90,375,500,0,30,10,Direct,Leisure,0.25,USA,2,0,10,1,0,8,2,1,4.5,10000,5000,15000,
3/5/2024,3,2,Spring,0,60000,85000,48000,0.78,125,97.5,384,492,8,32,8,OTA,Business,0.2,UK,1,1,9,2,1,7,3,2,4.6,12000,6000,12000,
3/6/2024,3,3,Spring,0,70000,90000,49000,0.8,130,104,377,471,29,33,6,Direct,Leisure,0.22,Germany,0,2,8,1,1,8,4,1,4.7,11000,7000,14000,
3/7/2024,3,4,Spring,0,50000,80000,45000,0.75,120,90,375,500,0,30,10,Direct,Leisure,0.25,USA,2,0,10,1,0,8,2,1,4.5,10000,5000,15000,
3/8/2024,3,5,Spring,1,60000,85000,48000,0.78,125,97.5,384,492,8,32,8,OTA,Business,0.2,UK,1,1,9,2,1,7,3,2,4.6,12000,6000,12000,
3/9/2024,3,6,Spring,0,70000,90000,49000,0.8,130,104,377,471,29,33,6,Direct,Leisure,0.22,Germany,0,2,8,1,1,8,4,1,4.7,11000,7000,14000,
3/10/2024,3,7,Spring,0,50000,80000,45000,0.75,120,90,375,500,0,30,10,Direct,Leisure,0.25,USA,2,0,10,1,0,8,2,1,4.5,10000,5000,15000,
3/11/2024,3,1,Spring,0,60000,85000,48000,0.78,125,97.5,384,492,8,32,8,OTA,Business,0.2,UK,1,1,9,2,1,7,3,2,4.6,12000,6000,12000,
3/12/2024,3,2,Spring,0,70000,90000,49000,0.8,130,104,377,471,29,33,6,Direct,Leisure,0.22,Germany,0,2,8,1,1,8,4,1,4.7,11000,7000,14000,
3/13/2024,3,3,Spring,0,50000,80000,45000,0.75,120,90,375,500,0,30,10,Direct,Leisure,0.25,USA,2,0,10,1,0,8,2,1,4.5,10000,5000,15000,
3/14/2024,3,4,Spring,0,60000,85000,48000,0.78,125,97.5,384,492,8,32,8,OTA,Business,0.2,UK,1,1,9,2,1,7,3,2,4.6,12000,6000,12000,
3/15/2024,3,5,Spring,1,70000,90000,49000,0.8,130,104,377,471,29,33,6,Direct,Leisure,0.22,Germany,0,2,8,1,1,8,4,1,4.7,11000,7000,14000,
3/16/2024,3,6,Spring,0,50000,80000,45000,0.75,120,90,375,500,0,30,10,Direct,Leisure,0.25,USA,2,0,10,1,0,8,2,1,4.5,10000,5000,15000,
3/17/2024,3,7,Spring,0,60000,85000,48000,0.78,125,97.5,384,492,8,32,8,OTA,Business,0.2,UK,1,1,9,2,1,7,3,2,4.6,12000,6000,12000,
3/18/2024,3,1,Spring,0,70000,90000,49000,0.8,130,104,377,471,29,33,6,Direct,Leisure,0.22,Germany,0,2,8,1,1,8,4,1,4.7,11000,7000,14000,
3/19/2024,3,2,Spring,0,50000,80000,45000,0.75,120,90,375,500,0,30,10,Direct,Leisure,0.25,USA,2,0,10,1,0,8,2,1,4.5,10000,5000,15000,
3/20/2024,7,3,Summer,0,60000,86000,48000,0.78,125,97.5,384,492,8,32,8,OTA,Business,0.2,UK,1,1,9,2,1,7,3,2,4.6,12000,6000,13000,
3/21/2024,7,4,Summer,1,50000,80000,45000,0.75,120,90,375,500,0,30,10,Direct,Leisure,0.25,USA,2,0,10,1,0,8,2,1,4.5,10000,5000,15000,
3/22/2024,7,5,Summer,0,55000,83000,46000,0.76,123,88,374,492,8,31,9,OTA,Business,0.23,France,1,1,9,1,1,8,2,2,4.6,11000,5000,16000,
3/23/2024,7,6,Summer,0,65000,89000,48000,0.78,128,93.84,375,481,19,32,10,Direct,Leisure,0.21,Italy,2,0,10,2,1,9,3,1,4.5,11500,5000,18000,
3/24/2024,7,7,Summer,0,70000,88000,48000,0.79,124,96.96,387,490,10,31,9,Direct,Leisure,0.23,Germany,0,2,8,1,1,8,4,1,4.6,11000,6000,18000,
3/25/2024,7,1,Summer,0,55000,81000,44000,0.75,120,82.5,367,489,11,30,10,Direct,Leisure,0.25,Italy,1,0,10,1,1,8,3,1,4.4,10500,4500,21500,
3/26/2024,7,2,Summer,0,65000,87000,46000,0.78,125,90.4,368,472,28,32,8,OTA,Business,0.2,Spain,1,2,8,1,1,8,4,1,4.5,11000,5000,20000,
3/27/2024,7,3,Summer,0,55000,81000,44000,0.75,120,82.5,367,489,11,30,10,Direct,Leisure,0.25,Germany,1,0,10,1,1,8,3,1,4.4,10500,4500,21500,
3/28/2024,7,4,Summer,0,65000,87000,46000,0.78,125,90.4,368,472,28,32,8,OTA,Business,0.2,France,1,2,8,1,1,8,4,1,4.5,11000,5000,20000,
3/29/2024,7,5,Summer,1,55000,81000,44000,0.75,120,82.5,367,489,11,30,10,Direct,Leisure,0.25,USA,1,0,10,1,1,8,3,1,4.4,10500,4500,21500,
3/30/2024,7,6,Summer,0,65000,87000,46000,0.78,125,90.4,368,472,28,32,8,OTA,Business,0.2,UK,1,2,8,1,1,8,4,1,4.5,11000,5000,20000,
3/31/2024,7,7,Summer,1,55000,81000,44000,0.75,120,82.5,367,489,11,30,10,Direct,Leisure,0.25,Italy,1,0,10,1,1,8,3,1,4.4,10500,4500,21500,
